size,qsort,odd-even,double-selection
1870,0.000417,0.024614,0.013029
1880,0.000417,0.024768,0.012961
1890,0.000423,0.024865,0.013216
1900,0.000422,0.025022,0.013301
1910,0.000420,0.025831,0.013502
1920,0.000433,0.026006,0.013985
1930,0.000446,0.027260,0.014157
1940,0.000459,0.027724,0.014250
1950,0.000427,0.026566,0.014156
1960,0.000445,0.027063,0.014586
1970,0.000432,0.027293,0.014388
1980,0.000440,0.027738,0.014609
1990,0.000437,0.027872,0.015143
2000,0.000448,0.027799,0.015295
2010,0.000449,0.028622,0.015196
2020,0.000445,0.028338,0.015530
2030,0.000451,0.028781,0.015773
2040,0.000464,0.028990,0.015256
2050,0.000450,0.029188,0.015273
2060,0.000458,0.030018,0.015662
2070,0.000445,0.029376,0.015995
2080,0.000463,0.030675,0.016229
2090,0.000468,0.030686,0.016928
2100,0.000465,0.031427,0.016643
2110,0.000473,0.031858,0.017347
2120,0.000491,0.032561,0.017050
2130,0.000477,0.032309,0.017316
2140,0.000477,0.032252,0.016881
2150,0.000496,0.032855,0.017246
2160,0.000515,0.033316,0.017479
2170,0.000483,0.032731,0.017340
2180,0.000484,0.033230,0.017758
2190,0.000481,0.033287,0.017722
2200,0.000490,0.033908,0.017736
2210,0.000489,0.033755,0.018062
2220,0.000497,0.035324,0.018412
2230,0.000510,0.035062,0.018238
2240,0.000509,0.036065,0.019324
2250,0.000532,0.036544,0.018730
2260,0.000506,0.035917,0.018895
2270,0.000513,0.036147,0.018880
2280,0.000524,0.036669,0.019469
2290,0.000524,0.038163,0.019317
2300,0.000519,0.039057,0.019826
2310,0.000523,0.037856,0.020693
2320,0.000572,0.038298,0.020252
2330,0.000530,0.038601,0.020507
2340,0.000531,0.039400,0.020712
2350,0.000533,0.040311,0.020445
2360,0.000542,0.039462,0.020584
2370,0.000534,0.040206,0.020628
2380,0.000536,0.039360,0.020434
2390,0.000537,0.041020,0.020626
2400,0.000541,0.039452,0.021738
2410,0.000544,0.039860,0.021423
2420,0.000539,0.041517,0.022528
2430,0.000558,0.042395,0.021587
2440,0.000618,0.042608,0.022436
2450,0.000565,0.042360,0.022475
2460,0.000561,0.043004,0.023571
2470,0.000568,0.044114,0.022963
2480,0.000574,0.044595,0.023433
2490,0.000571,0.043545,0.023615
2500,0.000570,0.044035,0.022918
2510,0.000563,0.044361,0.023752
2520,0.000582,0.045597,0.024513
2530,0.000589,0.045811,0.025547
2540,0.000602,0.046025,0.024032
2550,0.000577,0.045989,0.025051
2560,0.000596,0.047809,0.025470
2570,0.000592,0.047404,0.024268
2580,0.000590,0.048337,0.025421
2590,0.000589,0.048427,0.024931
2600,0.000614,0.048896,0.025390
2610,0.000613,0.049122,0.025462
2620,0.000651,0.049402,0.025630
2630,0.000599,0.049721,0.026060
2640,0.000604,0.050561,0.026439
2650,0.000603,0.050132,0.026445
2660,0.000606,0.050430,0.026932
2670,0.000633,0.051410,0.027280
2680,0.000654,0.051833,0.027663
2690,0.000708,0.051958,0.027248
2700,0.000633,0.051219,0.027271
2710,0.000620,0.052166,0.028283
2720,0.000636,0.053757,0.027855
2730,0.000655,0.052481,0.027342
2740,0.000650,0.051995,0.028260
2750,0.000624,0.054244,0.028463
2760,0.000715,0.054757,0.029132
2770,0.000660,0.054970,0.028945
2780,0.000638,0.055824,0.029343
2790,0.000657,0.056744,0.029657
2800,0.000671,0.056316,0.029399
2810,0.000651,0.058022,0.029732
2820,0.000658,0.058013,0.030201
2830,0.000651,0.057791,0.029986
2840,0.000679,0.059791,0.030377
