size,qsort,odd-even,double-selection
7820,0.002180,0.468540,0.230045
7830,0.002122,0.475359,0.232558
7840,0.002171,0.475878,0.234254
7850,0.002230,0.475213,0.230652
7860,0.002171,0.477640,0.233370
7870,0.002163,0.477527,0.235951
7880,0.002280,0.478240,0.233724
7890,0.002137,0.478384,0.234844
7900,0.002121,0.482025,0.235880
7910,0.002125,0.481624,0.234886
7920,0.002195,0.483082,0.237164
7930,0.002131,0.484312,0.236477
7940,0.002145,0.484022,0.238223
7950,0.002063,0.490399,0.236908
7960,0.002128,0.486366,0.238884
7970,0.002220,0.491463,0.240973
7980,0.002171,0.493387,0.237402
7990,0.002301,0.493099,0.243341
8000,0.002229,0.494962,0.244863
8010,0.002172,0.494499,0.242731
8020,0.002163,0.497514,0.245195
8030,0.002194,0.495806,0.245074
8040,0.002158,0.496778,0.242657
8050,0.002165,0.496201,0.242441
8060,0.002286,0.499144,0.246034
8070,0.002193,0.501360,0.246191
8080,0.002216,0.505025,0.246753
8090,0.002200,0.505890,0.249409
8100,0.002175,0.505407,0.246912
8110,0.002177,0.509190,0.249463
8120,0.002171,0.507437,0.249117
8130,0.002236,0.507864,0.252133
8140,0.002258,0.513168,0.250481
8150,0.002201,0.510667,0.250077
8160,0.002207,0.511934,0.252306
8170,0.002227,0.511904,0.253799
8180,0.002231,0.520309,0.251758
8190,0.002233,0.514795,0.255139
8200,0.002197,0.517016,0.255777
8210,0.002280,0.520360,0.257223
8220,0.002242,0.522923,0.255314
8230,0.002181,0.522117,0.252234
8240,0.002281,0.524460,0.257361
8250,0.002233,0.518690,0.258404
8260,0.002266,0.526692,0.260430
8270,0.002245,0.524342,0.258939
8280,0.002250,0.525612,0.258039
8290,0.002403,0.529296,0.260233
8300,0.002284,0.529953,0.260278
8310,0.002265,0.531321,0.259673
8320,0.002261,0.529530,0.258294
8330,0.002218,0.535609,0.260574
8340,0.002276,0.537091,0.262639
8350,0.002239,0.534474,0.261646
8360,0.002318,0.536286,0.262730
8370,0.002253,0.534517,0.265779
8380,0.002337,0.539412,0.266793
8390,0.002324,0.539839,0.264546
8400,0.002283,0.542956,0.264648
8410,0.002252,0.542384,0.276718
8420,0.002350,0.546054,0.267832
8430,0.002315,0.545696,0.266812
8440,0.002286,0.549368,0.267644
8450,0.002271,0.553866,0.268021
8460,0.002305,0.554914,0.271002
8470,0.002400,0.551443,0.268993
8480,0.002328,0.554874,0.270829
8490,0.002303,0.555943,0.272805
8500,0.002321,0.556690,0.273580
8510,0.002293,0.557602,0.271354
8520,0.002341,0.560106,0.275767
8530,0.002333,0.562318,0.272021
8540,0.002324,0.561787,0.273845
8550,0.002311,0.564433,0.276496
8560,0.002527,0.563810,0.277573
8570,0.002324,0.565221,0.277373
8580,0.002359,0.560175,0.276473
8590,0.002339,0.567141,0.279989
8600,0.002329,0.571150,0.279199
8610,0.002321,0.570024,0.280757
8620,0.002393,0.574478,0.277486
8630,0.002277,0.574917,0.282079
8640,0.002343,0.580089,0.282092
8650,0.002399,0.579996,0.277488
8660,0.002285,0.579496,0.282440
8670,0.002357,0.577456,0.282612
8680,0.002329,0.577123,0.285874
8690,0.002409,0.582186,0.286380
8700,0.002397,0.585444,0.288580
8710,0.002405,0.585784,0.286116
8720,0.002373,0.587390,0.287054
8730,0.002365,0.591406,0.287236
8740,0.002317,0.588844,0.289226
8750,0.002455,0.592178,0.288452
8760,0.002424,0.592703,0.289539
8770,0.002460,0.595123,0.290076
8780,0.002521,0.592618,0.289741
8790,0.002385,0.595296,0.290302
8800,0.002386,0.595816,0.291556
8810,0.002449,0.593243,0.292280
8820,0.002393,0.598230,0.295682
8830,0.002457,0.600941,0.295577
8840,0.002453,0.609408,0.293696
8850,0.002439,0.599098,0.292142
8860,0.002419,0.605123,0.297417
8870,0.002426,0.608001,0.294397
8880,0.002443,0.610058,0.301499
8890,0.002450,0.611296,0.297825
8900,0.002517,0.613026,0.298094
8910,0.002497,0.610716,0.298658
8920,0.002570,0.615206,0.302928
8930,0.002418,0.613607,0.300587
8940,0.002446,0.618169,0.302946
8950,0.002471,0.617240,0.300113
8960,0.002450,0.615482,0.305370
8970,0.002470,0.619631,0.299070
8980,0.002455,0.618926,0.302357
8990,0.002445,0.623578,0.303182
9000,0.002449,0.623399,0.306079
9010,0.002559,0.626977,0.306677
9020,0.002466,0.624997,0.303596
9030,0.002498,0.636117,0.311978
9040,0.002499,0.631951,0.306121
9050,0.002469,0.633830,0.311831
9060,0.002478,0.635914,0.310400
9070,0.002421,0.637349,0.311207
9080,0.002505,0.636353,0.308792
9090,0.002488,0.640643,0.314836
9100,0.002545,0.641946,0.312239
9110,0.002519,0.641633,0.313830
9120,0.002517,0.639949,0.311888
9130,0.002504,0.644361,0.312313
9140,0.002526,0.651592,0.318595
9150,0.002494,0.645602,0.311957
9160,0.002534,0.652931,0.312312
9170,0.002576,0.648419,0.318202
9180,0.002545,0.652032,0.319802
9190,0.002538,0.650459,0.317106
9200,0.002526,0.652911,0.317044
9210,0.002543,0.655478,0.320196
9220,0.002540,0.655804,0.321053
9230,0.002611,0.659711,0.320900
9240,0.002570,0.659151,0.322936
9250,0.002563,0.664215,0.322161
9260,0.002535,0.663188,0.324191
9270,0.002527,0.661389,0.324807
9280,0.002540,0.669072,0.324721
9290,0.002589,0.667297,0.322777
9300,0.002668,0.671366,0.323074
9310,0.002477,0.666381,0.326608
9320,0.002521,0.673259,0.323436
9330,0.002485,0.673026,0.330763
9340,0.002571,0.682031,0.331134
9350,0.002701,0.671447,0.330183
9360,0.002578,0.674583,0.331235
9370,0.002701,0.679164,0.332504
9380,0.002462,0.678224,0.333540
9390,0.002691,0.679738,0.330228
9400,0.002454,0.685423,0.340024
9410,0.002567,0.685041,0.332148
9420,0.002581,0.683289,0.337252
9430,0.002621,0.693265,0.334538
9440,0.002805,0.685367,0.334138
9450,0.002656,0.694151,0.339295
9460,0.002658,0.687757,0.334463
9470,0.002680,0.691973,0.338993
9480,0.002597,0.691660,0.335998
9490,0.002614,0.702247,0.341075
9500,0.002656,0.701183,0.340090
9510,0.002764,0.701792,0.341182
9520,0.002612,0.700170,0.345470
9530,0.002613,0.703956,0.343431
9540,0.002665,0.706086,0.342646
9550,0.002558,0.703303,0.345332
9560,0.002683,0.712225,0.344902
9570,0.002789,0.707049,0.345850
9580,0.002635,0.712160,0.348509
9590,0.002820,0.708897,0.347389
9600,0.002648,0.711416,0.352359
9610,0.002636,0.715768,0.350890
9620,0.002608,0.719178,0.348250
9630,0.002658,0.711725,0.349489
9640,0.002703,0.719795,0.353775
9650,0.002626,0.721415,0.354895
9660,0.002699,0.719416,0.354631
9670,0.002643,0.726867,0.356219
9680,0.002668,0.718416,0.356560
9690,0.002655,0.724482,0.358414
9700,0.002665,0.721750,0.358591
9710,0.002794,0.726860,0.361432
9720,0.002657,0.728119,0.356207
9730,0.002684,0.735020,0.364777
9740,0.002711,0.736010,0.359789
9750,0.002735,0.730305,0.359010
9760,0.002670,0.733395,0.364731
9770,0.002707,0.744802,0.361872
9780,0.002716,0.739659,0.360254
9790,0.002631,0.738543,0.361919
9800,0.002683,0.748734,0.361141
9810,0.002793,0.744900,0.365921
9820,0.002620,0.753529,0.366834
9830,0.002678,0.754280,0.369130
9840,0.002719,0.753770,0.369286
9850,0.002840,0.750652,0.370203
9860,0.002728,0.753719,0.369431
9870,0.002799,0.753898,0.366393
9880,0.002771,0.757321,0.368995
9890,0.002828,0.753364,0.370988
9900,0.002758,0.760103,0.372480
9910,0.002754,0.759710,0.372003
9920,0.002672,0.769921,0.368169
9930,0.002680,0.766119,0.373913
9940,0.002835,0.761844,0.377980
9950,0.002735,0.770974,0.381736
9960,0.002752,0.769770,0.372834
9970,0.002724,0.768715,0.372932
9980,0.002768,0.777570,0.377718
9990,0.002744,0.768012,0.375928
10000,0.002745,0.771796,0.376752
